Price,Close,High,Low,Open,Volume
Ticker,,,,,
Date,,,,,
5/21/2024,191.2375793,191.6153714,189.8158416,189.9848567,42309400
5/22/2024,189.7959747,191.7048843,189.1696285,191.158062,34648500
5/23/2024,185.7992096,189.8953773,185.5506554,189.8754887,51005900
5/24/2024,188.8812866,189.4778227,186.9525038,187.7280068,36327000
5/28/2024,188.8912354,191.8838221,188.0063831,190.4024338,52280100
5/29/2024,189.1894989,191.1381704,188.414011,188.5134388,53068000
5/30/2024,190.1837158,191.0685681,189.5275443,189.6567822,49889100
5/31/2024,191.1381683,191.456325,188.8117048,190.3328552,75158300
6/3/2024,192.9078674,193.8623222,191.4066057,191.7843977,50080500
6/4/2024,193.2260284,194.1904199,191.9136551,193.5143446,47471400
6/5/2024,194.7372284,195.7612704,193.7430117,194.2699453,54156800
6/6/2024,193.3552551,195.3635771,193.0470504,194.558264,41181800
6/7/2024,195.751358,195.8010719,193.0172617,193.5243068,53103900
6/10/2024,192.0031281,196.1589618,191.0387366,195.761266,97010200
6/11/2024,205.9519806,205.9619325,192.5101819,192.5300553,172373300
6/12/2024,211.8377686,218.9265236,205.7034379,206.170721,198134300
6/13/2024,213.0010071,215.4964857,210.3762754,213.4981155,97862700
6/14/2024,211.2611389,213.9256327,210.0780185,212.6132744,70122700
6/17/2024,215.4169464,217.6837594,211.4897932,212.136028,93728300
6/18/2024,213.0506897,217.3656017,211.7681568,216.3316078,79943300
6/20/2024,208.4673615,213.0010026,207.6421749,212.6927826,86172500
6/21/2024,206.2900391,210.6645867,205.9122318,209.1732616,241805100
6/24/2024,206.9362793,211.4699054,205.3952403,206.5187101,80727000
6/25/2024,207.8609161,210.1575545,207.4035697,207.9404401,55549700
6/26/2024,212.0167084,213.6173978,209.4218022,210.2768292,66213200
6/27/2024,212.8618011,214.4923159,211.1219219,213.4483854,49772700
6/28/2024,209.4019318,214.8204253,209.0837903,214.5221572,82542700
7/1/2024,215.4964752,216.2520745,210.6944066,210.8634216,60402900
7/2/2024,218.9961243,219.1054887,213.8560256,214.899941,58046200
7/3/2024,220.2687225,220.2687225,217.7632921,218.7276835,37369800
7/5/2024,225.0310211,225.1403856,220.368142,220.368142,60412400
7/8/2024,226.5024567,226.532282,221.958879,225.7766675,59085900
7/9/2024,227.3574677,228.0733049,225.0608295,226.6118051,48076100
7/10/2024,231.6326141,231.7320419,227.9241899,227.9739038,62627700
7/11/2024,226.2539063,231.046023,224.4643131,230.0518062,64710600
7/12/2024,229.2067261,231.2945873,227.3574823,227.5960998,53046500
7/15/2024,233.0444031,235.8580383,231.7419815,235.1123758,62631300
